bank_id,pm_family,course,unit,section,destination,destination_group,destination_slot,retrieval_stage_or_scope,mastery_goal_id,evidence_point_id,summative_version,blueprint_slot_id,question_family_id,variation_mode,task_architecture,dok,learning_target,i_can,practice_standard,item_type,answer_type,security_level,estimated_time_sec,figure_files,figure_source,graph_tool_type,source_basis,notes
U2-S3-PS2-Q05,AP/SCI,Conceptual Physics,2,2.3,Practice Set 2,practice,PS2-Q05,current-section,U2-MG03,,,,U2-S3-PF05,reasoning_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS3-Q05,AP/SCI,Conceptual Physics,2,2.3,Practice Set 3,practice,PS3-Q05,current-section,U2-MG03,,,,U2-S3-PF05,reasoning_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,selected response,multiple-choice,instructional,80,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-XP-Q05,AP/SCI,Conceptual Physics,2,2.3,Extra Practice,practice,XP-Q05,current-section,U2-MG03,,,,U2-S3-PF05,reasoning_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS1-Q06,AP/SCI,Conceptual Physics,2,2.3,Practice Set 1,practice,PS1-Q06,current-section,U2-MG03,,,,U2-S3-PF06,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS2-Q06,AP/SCI,Conceptual Physics,2,2.3,Practice Set 2,practice,PS2-Q06,current-section,U2-MG03,,,,U2-S3-PF06,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS3-Q06,AP/SCI,Conceptual Physics,2,2.3,Practice Set 3,practice,PS3-Q06,current-section,U2-MG03,,,,U2-S3-PF06,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,selected response,multiple-choice,instructional,80,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-XP-Q06,AP/SCI,Conceptual Physics,2,2.3,Extra Practice,practice,XP-Q06,current-section,U2-MG03,,,,U2-S3-PF06,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS1-Q07,AP/SCI,Conceptual Physics,2,2.3,Practice Set 1,practice,PS1-Q07,current-section,U2-MG03,,,,U2-S3-PF07,reasoning_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS2-Q07,AP/SCI,Conceptual Physics,2,2.3,Practice Set 2,practice,PS2-Q07,current-section,U2-MG03,,,,U2-S3-PF07,reasoning_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS3-Q07,AP/SCI,Conceptual Physics,2,2.3,Practice Set 3,practice,PS3-Q07,current-section,U2-MG03,,,,U2-S3-PF07,reasoning_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation; quantitative reasoning; model translation,selected response,multiple-choice,instructional,80,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-XP-Q07,AP/SCI,Conceptual Physics,2,2.3,Extra Practice,practice,XP-Q07,current-section,U2-MG03,,,,U2-S3-PF07,reasoning_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS1-Q08,AP/SCI,Conceptual Physics,2,2.3,Practice Set 1,practice,PS1-Q08,current-section,U2-MG03,,,,U2-S3-PF08,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,figures/u2_s3_vt_ps1.png,Generated by Framework graph_tool v12,context_graph,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS2-Q08,AP/SCI,Conceptual Physics,2,2.3,Practice Set 2,practice,PS2-Q08,current-section,U2-MG03,,,,U2-S3-PF08,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,figures/u2_s3_vt_ps2.png,Generated by Framework graph_tool v12,context_graph,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS3-Q08,AP/SCI,Conceptual Physics,2,2.3,Practice Set 3,practice,PS3-Q08,current-section,U2-MG03,,,,U2-S3-PF08,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,selected response,multiple-choice,instructional,80,figures/u2_s3_vt_ps3.png,Generated by Framework graph_tool v12,context_graph,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-XP-Q08,AP/SCI,Conceptual Physics,2,2.3,Extra Practice,practice,XP-Q08,current-section,U2-MG03,,,,U2-S3-PF08,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,figures/u2_s3_vt_xp.png,Generated by Framework graph_tool v12,context_graph,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS1-Q09,AP/SCI,Conceptual Physics,2,2.3,Practice Set 1,practice,PS1-Q09,current-section,U2-MG03,,,,U2-S3-PF09,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS2-Q09,AP/SCI,Conceptual Physics,2,2.3,Practice Set 2,practice,PS2-Q09,current-section,U2-MG03,,,,U2-S3-PF09,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS3-Q09,AP/SCI,Conceptual Physics,2,2.3,Practice Set 3,practice,PS3-Q09,current-section,U2-MG03,,,,U2-S3-PF09,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,selected response,multiple-choice,instructional,80,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-XP-Q09,AP/SCI,Conceptual Physics,2,2.3,Extra Practice,practice,XP-Q09,current-section,U2-MG03,,,,U2-S3-PF09,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS1-Q10,AP/SCI,Conceptual Physics,2,2.3,Practice Set 1,practice,PS1-Q10,current-section,U2-MG03,,,,U2-S3-PF10,mixed,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS2-Q10,AP/SCI,Conceptual Physics,2,2.3,Practice Set 2,practice,PS2-Q10,current-section,U2-MG03,,,,U2-S3-PF10,mixed,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS3-Q10,AP/SCI,Conceptual Physics,2,2.3,Practice Set 3,practice,PS3-Q10,current-section,U2-MG03,,,,U2-S3-PF10,mixed,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation; quantitative reasoning; model translation,selected response,multiple-choice,instructional,80,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-XP-Q10,AP/SCI,Conceptual Physics,2,2.3,Extra Practice,practice,XP-Q10,current-section,U2-MG03,,,,U2-S3-PF10,mixed,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS1-Q11,AP/SCI,Conceptual Physics,2,2.3,Practice Set 1,practice,PS1-Q11,current-section,U2-MG03,,,,U2-S3-PF01,routine_procedural_structure,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS2-Q11,AP/SCI,Conceptual Physics,2,2.3,Practice Set 2,practice,PS2-Q11,current-section,U2-MG03,,,,U2-S3-PF01,routine_procedural_structure,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS3-Q11,AP/SCI,Conceptual Physics,2,2.3,Practice Set 3,practice,PS3-Q11,current-section,U2-MG03,,,,U2-S3-PF01,routine_procedural_structure,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,selected response,multiple-choice,instructional,80,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-XP-Q11,AP/SCI,Conceptual Physics,2,2.3,Extra Practice,practice,XP-Q11,current-section,U2-MG03,,,,U2-S3-PF01,routine_procedural_structure,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS1-Q12,AP/SCI,Conceptual Physics,2,2.3,Practice Set 1,practice,PS1-Q12,current-section,U2-MG03,,,,U2-S3-PF02,routine_procedural_structure,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS2-Q12,AP/SCI,Conceptual Physics,2,2.3,Practice Set 2,practice,PS2-Q12,current-section,U2-MG03,,,,U2-S3-PF02,routine_procedural_structure,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS3-Q12,AP/SCI,Conceptual Physics,2,2.3,Practice Set 3,practice,PS3-Q12,current-section,U2-MG03,,,,U2-S3-PF02,routine_procedural_structure,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,selected response,multiple-choice,instructional,80,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-XP-Q12,AP/SCI,Conceptual Physics,2,2.3,Extra Practice,practice,XP-Q12,current-section,U2-MG03,,,,U2-S3-PF02,routine_procedural_structure,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS1-Q13,AP/SCI,Conceptual Physics,2,2.3,Practice Set 1,practice,PS1-Q13,current-section,U2-MG03,,,,U2-S3-PF03,mixed,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS2-Q13,AP/SCI,Conceptual Physics,2,2.3,Practice Set 2,practice,PS2-Q13,current-section,U2-MG03,,,,U2-S3-PF03,mixed,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS3-Q13,AP/SCI,Conceptual Physics,2,2.3,Practice Set 3,practice,PS3-Q13,current-section,U2-MG03,,,,U2-S3-PF03,mixed,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation; quantitative reasoning; model translation,selected response,multiple-choice,instructional,80,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-XP-Q13,AP/SCI,Conceptual Physics,2,2.3,Extra Practice,practice,XP-Q13,current-section,U2-MG03,,,,U2-S3-PF03,mixed,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS1-Q14,AP/SCI,Conceptual Physics,2,2.3,Practice Set 1,practice,PS1-Q14,current-section,U2-MG03,,,,U2-S3-PF04,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS2-Q14,AP/SCI,Conceptual Physics,2,2.3,Practice Set 2,practice,PS2-Q14,current-section,U2-MG03,,,,U2-S3-PF04,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS3-Q14,AP/SCI,Conceptual Physics,2,2.3,Practice Set 3,practice,PS3-Q14,current-section,U2-MG03,,,,U2-S3-PF04,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,selected response,multiple-choice,instructional,80,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-XP-Q14,AP/SCI,Conceptual Physics,2,2.3,Extra Practice,practice,XP-Q14,current-section,U2-MG03,,,,U2-S3-PF04,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS1-Q15,AP/SCI,Conceptual Physics,2,2.3,Practice Set 1,practice,PS1-Q15,current-section,U2-MG03,,,,U2-S3-PF05,routine_procedural_structure,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS2-Q15,AP/SCI,Conceptual Physics,2,2.3,Practice Set 2,practice,PS2-Q15,current-section,U2-MG03,,,,U2-S3-PF05,routine_procedural_structure,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS3-Q15,AP/SCI,Conceptual Physics,2,2.3,Practice Set 3,practice,PS3-Q15,current-section,U2-MG03,,,,U2-S3-PF05,routine_procedural_structure,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,selected response,multiple-choice,instructional,80,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-XP-Q15,AP/SCI,Conceptual Physics,2,2.3,Extra Practice,practice,XP-Q15,current-section,U2-MG03,,,,U2-S3-PF05,routine_procedural_structure,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS1-Q16,AP/SCI,Conceptual Physics,2,2.3,Practice Set 1,practice,PS1-Q16,current-section,U2-MG03,,,,U2-S3-PF06,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS2-Q16,AP/SCI,Conceptual Physics,2,2.3,Practice Set 2,practice,PS2-Q16,current-section,U2-MG03,,,,U2-S3-PF06,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS3-Q16,AP/SCI,Conceptual Physics,2,2.3,Practice Set 3,practice,PS3-Q16,current-section,U2-MG03,,,,U2-S3-PF06,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation; quantitative reasoning; model translation,selected response,multiple-choice,instructional,80,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-XP-Q16,AP/SCI,Conceptual Physics,2,2.3,Extra Practice,practice,XP-Q16,current-section,U2-MG03,,,,U2-S3-PF06,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS1-Q17,AP/SCI,Conceptual Physics,2,2.3,Practice Set 1,practice,PS1-Q17,current-section,U2-MG03,,,,U2-S3-PF07,reasoning_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS2-Q17,AP/SCI,Conceptual Physics,2,2.3,Practice Set 2,practice,PS2-Q17,current-section,U2-MG03,,,,U2-S3-PF07,reasoning_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS3-Q17,AP/SCI,Conceptual Physics,2,2.3,Practice Set 3,practice,PS3-Q17,current-section,U2-MG03,,,,U2-S3-PF07,reasoning_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,selected response,multiple-choice,instructional,80,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-XP-Q17,AP/SCI,Conceptual Physics,2,2.3,Extra Practice,practice,XP-Q17,current-section,U2-MG03,,,,U2-S3-PF07,reasoning_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS1-Q18,AP/SCI,Conceptual Physics,2,2.3,Practice Set 1,practice,PS1-Q18,current-section,U2-MG03,,,,U2-S3-PF08,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,figures/u2_s3_vt_ps1.png,Generated by Framework graph_tool v12,context_graph,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS2-Q18,AP/SCI,Conceptual Physics,2,2.3,Practice Set 2,practice,PS2-Q18,current-section,U2-MG03,,,,U2-S3-PF08,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,figures/u2_s3_vt_ps2.png,Generated by Framework graph_tool v12,context_graph,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-PS3-Q18,AP/SCI,Conceptual Physics,2,2.3,Practice Set 3,practice,PS3-Q18,current-section,U2-MG03,,,,U2-S3-PF08,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,selected response,multiple-choice,instructional,80,figures/u2_s3_vt_ps3.png,Generated by Framework graph_tool v12,context_graph,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S3-XP-Q18,AP/SCI,Conceptual Physics,2,2.3,Extra Practice,practice,XP-Q18,current-section,U2-MG03,,,,U2-S3-PF08,representation_shift,,2,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,short constructed response,constructed-response,instructional,110,figures/u2_s3_vt_xp.png,Generated by Framework graph_tool v12,context_graph,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
